Date,Type,Day(Overall),Day,Mentions,Reaction
3/10/2023,Fun Fact,1,1,7,:first_place:
3/11/2023,Fun Fact,2,2,11,:transgender_flag:
3/12/2023,Fun Fact,3,3,6,:flag_fr:
3/13/2023,Fun Fact,4,4,12,:face_with_raised_eyebrow:
3/14/2023,Fun Fact,5,5,15,:5head:
3/15/2023,Fun Fact,6,6,9,:flag_fr:
3/16/2023,Fun Fact,7,7,0,<no-reaction>
3/17/2023,Fun Fact,8,8,0,<no-reaction>
3/18/2023,Fun Fact,9,9,11,:cheese:
3/19/2023,Fun Fact,10,10,0,<no-reaction>
3/20/2023,Fun Fact,11,11,6,:hedgehog:
3/21/2023,Fun Fact,12,12,6,:jigsaw:
3/22/2023,Fun Fact,13,13,5,:mountain:
3/23/2023,Fun Fact,14,14,8,:transgender_flag:
3/24/2023,Fun Fact,15,15,8,:transgender_flag:
3/25/2023,Fun Fact,16,16,8,:transgender_flag:
3/26/2023,Fun Fact,17,17,16,:cake:
3/27/2023,Fun Fact,18,18,12,:yum:
3/28/2023,Fun Fact,19,19,11,:chadright:
3/29/2023,Fun Fact,20,20,9,:transgender_flag:
3/30/2023,Fun Fact,21,21,11,:parrot:
3/31/2023,Fun Fact,22,22,14,:omegalul:
4/1/2023,Fun Fact,23,23,10,:transgender_flag:
4/2/2023,Fun Fact,24,24,11,:transgender_flag:
4/3/2023,Fun Fact,25,25,12,:transgender_flag:
4/4/2023,Fun Fact,26,26,13,:croissant:
4/5/2023,Fun Fact,27,27,12,:mango:
4/6/2023,Fun Fact,28,28,8,:cake:
4/7/2023,Fun Fact,29,29,12,:cheese:
4/8/2023,Fun Fact,30,30,12,:transgender_flag:
4/9/2023,Fun Fact,31,31,13,:sunglasses:
4/10/2023,Fun Fact,32,32,15,:egg:
4/11/2023,Fun Fact,33,33,12,:star:
4/12/2023,Quote,34,1,13,:sleeping_cat:
4/13/2023,Quote,35,2,10,:transgender_flag:
4/14/2023,Quote,36,3,7,:sadcat:
4/15/2023,Riddle,37,1,7,:amogus:
4/16/2023,Riddle,38,2,4,:nerd:
4/17/2023,Riddle,39,3,6,:fish:
4/18/2023,Riddle,40,4,4,:trollswagcat:
4/19/2023,Riddle,41,5,8,:of_default:
4/20/2023,Riddle,42,6,7,:razor:
4/21/2023,Riddle,43,7,3,:teapot:
4/22/2023,Riddle,44,8,4,:nerd:
4/23/2023,Riddle,45,9,7,:trolla:
4/24/2023,Riddle,46,10,6,:upside_down:
4/25/2023,Riddle,47,11,10,:rock:
4/26/2023,Riddle,48,12,9,:nerd:
4/27/2023,Riddle,49,13,7,:huh:
4/28/2023,Riddle,50,14,7,:wheel:
4/29/2023,Riddle,51,15,5,:trollswagcat:
4/30/2023,Riddle,52,16,5,:goblinsurprise:
5/1/2023,Riddle,53,17,4,:10k_gold_xanax2:
5/2/2023,Riddle,54,18,6,:reverse:
5/3/2023,Riddle,55,19,7,:briefs:
5/4/2023,Riddle,56,20,10,:nerd:
5/5/2023,Riddle,57,21,6,:nerd:
5/6/2023,Riddle,58,22,5,:nerd:
5/7/2023,Riddle,59,23,5,:snowflake:
5/8/2023,Riddle,60,24,4,:nerd:
5/9/2023,Riddle,61,25,5,:nerd:
5/10/2023,Riddle,62,26,4,:transgender_flag:
5/11/2023,Riddle,63,27,4,:door:
5/12/2023,Riddle,64,28,9,:polar_bear:
5/13/2023,Riddle,65,29,5,:alarm_clock:
5/14/2023,Riddle,66,30,8,:bell:
5/15/2023,Riddle,67,31,5,:wood:
5/16/2023,Riddle,68,32,7,:nerd:
5/17/2023,Riddle,69,33,4,:infinity:
5/18/2023,Riddle,70,34,3,:brown_square:
5/19/2023,Riddle,71,35,5,:shirt:
5/20/2023,Riddle,72,36,4,:xanax:
5/21/2023,Riddle,73,37,5,:otherside:
5/22/2023,Riddle,74,38,8,:nerd:
